# Stretch,Cauchy_stress
1.000000000000000000e+00,1.927843701999703858e-03
1.001805009519570744e+00,7.906355489020674976e-03
1.003807828301560345e+00,-4.112267274594472340e-03
1.005810647083549725e+00,1.939045721384268428e-03
1.007813465865539326e+00,1.402535877261298046e-02
1.009816284647528706e+00,-1.015969531491430974e-02
1.011819103429518085e+00,7.985387821261106037e-03
1.013821922211507687e+00,-4.153291691329963689e-03
1.015824740993497066e+00,-4.161496574677061785e-03
1.017852285933288803e+00,1.416506523404924452e-02
1.019830378557476047e+00,-4.177906341371258846e-03
1.021833197339465427e+00,1.969934693985109404e-03
1.023836016121454806e+00,1.973795815560213957e-03
1.025863561061246765e+00,-1.032114590892458002e-02
1.027866379843236144e+00,8.112034694406886765e-03
1.029869198625225746e+00,-4.219032052962887712e-03
1.031847291249412768e+00,-4.227135641453848292e-03
1.033874836189204727e+00,1.438804500501156616e-02
1.035877654971194106e+00,-1.042189705002497836e-02
1.037880473753183486e+00,-4.251851586351280965e-03
1.039883292535172865e+00,8.206873493095406466e-03
1.041886111317162467e+00,-1.048234773468521668e-02
1.043888930099152068e+00,8.238486425991582013e-03
1.045891748881141448e+00,-1.052264819112537844e-02
1.047894567663131049e+00,-4.292876003086774049e-03
1.049897386445120206e+00,1.461102477597388434e-02
1.051900205227109808e+00,-4.309285769780969375e-03
1.053903024009099187e+00,2.031760307354384641e-03
1.055905842791088789e+00,8.333325224680099980e-03
1.057908661573078168e+00,-1.064354956044585507e-02
1.059911480355067770e+00,8.364938157576273792e-03
1.061914299137057149e+00,-4.350310186516461591e-03
1.063917117919046529e+00,-4.358515069863559688e-03
1.065944662858838488e+00,1.483434865152102530e-02
1.067922755483025510e+00,-4.374924836557756748e-03
1.069925574265015111e+00,2.062649279955225835e-03
1.071928393047004491e+00,1.491762196104707595e-02
1.073955937986796227e+00,-1.080500015445612361e-02
1.075958756768785829e+00,8.491585030722052785e-03
1.077961575550775208e+00,2.078141434423239932e-03
1.079939668174962453e+00,-4.424154136640347061e-03
1.081967213114754189e+00,1.505732842248334348e-02
1.083970031896743569e+00,-4.440665198190679903e-03
1.085972850678733170e+00,2.093585920723660745e-03
