SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,35.1,0,-0.160
Stretch,1-Preload,0.200,35.1,0,0.039
Stretch,1-Preload,0.400,35.1,0,0.138
Stretch,1-Stretch,0.460,35.1,0,0.138
Stretch,1-Stretch,0.660,35.162,0.062,0.039
Stretch,1-Stretch,0.860,35.232,0.132,0.138
Stretch,1-Stretch,1.060,35.302,0.202,0.238
Stretch,1-Stretch,1.260,35.373,0.273,0.238
Stretch,1-Stretch,1.460,35.443,0.343,0.138
Stretch,1-Stretch,1.660,35.513,0.413,0.437
Stretch,1-Stretch,1.860,35.583,0.483,0.138
Stretch,1-Stretch,2.060,35.654,0.554,0.337
Stretch,1-Stretch,2.260,35.724,0.624,0.337
Stretch,1-Stretch,2.460,35.794,0.694,0.138
Stretch,1-Stretch,2.660,35.865,0.765,0.437
Stretch,1-Stretch,2.860,35.935,0.835,0.238
Stretch,1-Stretch,3.060,36.006,0.906,0.437
Stretch,1-Stretch,3.260,36.076,0.976,0.437
Stretch,1-Stretch,3.460,36.146,1.046,0.437
Stretch,1-Stretch,3.660,36.217,1.117,0.437
Stretch,1-Stretch,3.860,36.287,1.187,0.537
Stretch,1-Stretch,4.060,36.357,1.257,0.537
Stretch,1-Stretch,4.260,36.427,1.327,0.537
Stretch,1-Stretch,4.460,36.498,1.398,0.537
Stretch,1-Stretch,4.660,36.568,1.468,0.537
Stretch,1-Stretch,4.860,36.639,1.539,0.537
Stretch,1-Stretch,5.060,36.709,1.609,0.537
Stretch,1-Stretch,5.260,36.779,1.679,0.636
Stretch,1-Stretch,5.460,36.85,1.75,0.736
Stretch,1-Stretch,5.660,36.92,1.82,0.736
Stretch,1-Stretch,5.860,36.99,1.89,1.233
Stretch,1-Stretch,6.060,37.06,1.96,1.034
Stretch,1-Stretch,6.260,37.131,2.031,1.034
Stretch,1-Stretch,6.460,37.201,2.101,1.233
Stretch,1-Stretch,6.660,37.272,2.172,0.935
Stretch,1-Stretch,6.860,37.342,2.242,1.134
Stretch,1-Stretch,7.060,37.412,2.312,1.134
Stretch,1-Stretch,7.260,37.483,2.383,1.034
Stretch,1-Stretch,7.460,37.553,2.453,1.233
Stretch,1-Stretch,7.660,37.623,2.523,1.333
Stretch,1-Stretch,7.860,37.694,2.594,1.333
Stretch,1-Stretch,8.060,37.764,2.664,1.333
Stretch,1-Stretch,8.260,37.835,2.735,1.333
Stretch,1-Stretch,8.460,37.904,2.804,1.333
Stretch,1-Stretch,8.660,37.975,2.875,1.433
Stretch,1-Stretch,8.860,38.045,2.945,1.632
Stretch,1-Stretch,9.060,38.116,3.016,1.930
Stretch,1-Stretch,9.260,38.186,3.086,1.831
Stretch,1-Stretch,9.460,38.256,3.156,1.731
Stretch,1-Stretch,9.660,38.327,3.227,2.030
Stretch,1-Stretch,9.860,38.397,3.297,1.731
Stretch,1-Stretch,10.060,38.467,3.367,2.030
Stretch,1-Stretch,10.260,38.538,3.438,2.030
Stretch,1-Stretch,10.460,38.608,3.508,2.030
Stretch,1-Stretch,10.660,38.679,3.579,1.831
Stretch,1-Stretch,10.860,38.749,3.649,2.129
Stretch,1-Stretch,11.060,38.819,3.719,1.930
Stretch,1-Stretch,11.260,38.889,3.789,1.930
Stretch,1-Stretch,11.460,38.96,3.86,1.831
Stretch,1-Stretch,11.660,39.03,3.93,1.930
Stretch,1-Stretch,11.860,39.1,4,2.129
Stretch,1-Stretch,12.060,39.171,4.071,2.129
Stretch,1-Stretch,12.260,39.241,4.141,2.129
Stretch,1-Stretch,12.460,39.312,4.212,2.129
Stretch,1-Stretch,12.660,39.382,4.282,2.129
Stretch,1-Stretch,12.860,39.452,4.352,2.129
Stretch,1-Stretch,13.060,39.522,4.422,2.428
Stretch,1-Stretch,13.260,39.593,4.493,2.229
Stretch,1-Stretch,13.460,39.663,4.563,2.229
Stretch,1-Stretch,13.660,39.733,4.633,2.528
Stretch,1-Stretch,13.860,39.804,4.704,2.129
Stretch,1-Stretch,14.060,39.874,4.774,2.727
Stretch,1-Stretch,14.260,39.945,4.845,2.627
Stretch,1-Stretch,14.460,40.015,4.915,2.727
Stretch,1-Stretch,14.660,40.085,4.985,2.926
Stretch,1-Stretch,14.860,40.156,5.056,2.926
Stretch,1-Stretch,15.060,40.226,5.126,2.926
Stretch,1-Stretch,15.260,40.296,5.196,3.025
Stretch,1-Stretch,15.460,40.367,5.267,2.926
Stretch,1-Stretch,15.660,40.437,5.337,3.025
Stretch,1-Stretch,15.860,40.508,5.408,3.125
Stretch,1-Stretch,16.060,40.577,5.477,2.926
Stretch,1-Stretch,16.260,40.648,5.548,3.224
Stretch,1-Stretch,16.460,40.718,5.618,3.025
Stretch,1-Stretch,16.660,40.789,5.689,3.025
Stretch,1-Stretch,16.860,40.859,5.759,3.523
Stretch,1-Stretch,17.060,40.929,5.829,3.424
Stretch,1-Stretch,17.260,41,5.9,3.722
Stretch,1-Stretch,17.460,41.07,5.97,3.523
Stretch,1-Stretch,17.660,41.14,6.04,3.722
Stretch,1-Stretch,17.860,41.21,6.11,3.722
Stretch,1-Stretch,18.060,41.281,6.181,3.722
Stretch,1-Stretch,18.260,41.351,6.251,3.822
Stretch,1-Stretch,18.460,41.422,6.322,3.822
Stretch,1-Stretch,18.660,41.492,6.392,3.722
Stretch,1-Stretch,18.860,41.562,6.462,3.722
Stretch,1-Stretch,19.060,41.633,6.533,3.722
Stretch,1-Stretch,19.260,41.703,6.603,3.722
Stretch,1-Stretch,19.460,41.773,6.673,3.822
Stretch,1-Stretch,19.660,41.844,6.744,3.921
Stretch,1-Stretch,19.860,41.914,6.814,4.220
Stretch,1-Stretch,20.060,41.985,6.885,4.021
Stretch,1-Stretch,20.260,42.055,6.955,4.419
Stretch,1-Stretch,20.460,42.125,7.025,4.220
