SetName,Cycle,Time_S,Size_mm,Displacement_mm,,Force_N
Stretch,1-Preload,0,40.841,0,,-0.423
Stretch,1-Preload,0.2,40.841,0,,-0.025
Stretch,1-Preload,0.4,40.855,0.014,,-0.025
Stretch,1-Preload,0.6,40.861,0.02,,-0.124
Stretch,1-Preload,0.8,40.863,0.022,,-0.025
Stretch,1-Preload,1,40.869,0.028,,0.075
Stretch,1-Preload,1.2,40.872,0.031,,-0.124
Stretch,1-Preload,1.4,40.891,0.05,,-0.025
Stretch,1-Preload,1.6,40.89,0.049,,0.174
Stretch,1-Preload,1.8,40.895,0.054,,0.075
Stretch,1-Preload,2,40.911,0.07,,-0.224
Stretch,1-Preload,2.2,40.922,0.081,,-0.124
Stretch,1-Preload,2.4,40.942,0.101,,0.075
Stretch,1-Stretch,2.56,40.942,0,1,-0.124
Stretch,1-Stretch,2.76,41.013,0.071,1.001734161,-0.025
Stretch,1-Stretch,2.96,41.095,0.153,1.003736994,-0.324
Stretch,1-Stretch,3.16,41.176,0.234,1.005715402,-0.124
Stretch,1-Stretch,3.36,41.259,0.317,1.00774266,-0.025
Stretch,1-Stretch,3.56,41.341,0.399,1.009745494,-0.423
Stretch,1-Stretch,3.76,41.423,0.481,1.011748327,-0.124
Stretch,1-Stretch,3.96,41.505,0.563,1.01375116,-0.224
Stretch,1-Stretch,4.16,41.587,0.645,1.015753993,-0.324
Stretch,1-Stretch,4.36,41.669,0.727,1.017756827,-0.025
Stretch,1-Stretch,4.56,41.751,0.809,1.01975966,-0.423
Stretch,1-Stretch,4.76,41.833,0.891,1.021762493,-0.224
Stretch,1-Stretch,4.96,41.915,0.973,1.023765327,-0.025
Stretch,1-Stretch,5.16,41.997,1.055,1.02576816,-0.324
Stretch,1-Stretch,5.36,42.079,1.137,1.027770993,-0.025
Stretch,1-Stretch,5.56,42.161,1.219,1.029773826,-0.124
Stretch,1-Stretch,5.76,42.244,1.302,1.031801084,-0.224
Stretch,1-Stretch,5.96,42.325,1.383,1.033779493,0.075
Stretch,1-Stretch,6.16,42.407,1.465,1.035782326,-0.324
Stretch,1-Stretch,6.36,42.49,1.548,1.037809584,-0.124
Stretch,1-Stretch,6.56,42.572,1.63,1.039812418,-0.025
Stretch,1-Stretch,6.76,42.653,1.711,1.041790826,-0.324
Stretch,1-Stretch,6.96,42.735,1.793,1.043793659,-0.124
Stretch,1-Stretch,7.16,42.818,1.876,1.045820917,-0.124
Stretch,1-Stretch,7.36,42.9,1.958,1.047823751,-0.224
Stretch,1-Stretch,7.56,42.982,2.04,1.049826584,-0.025
Stretch,1-Stretch,7.76,43.064,2.122,1.051829417,-0.124
Stretch,1-Stretch,7.96,43.146,2.204,1.053832251,-0.025
Stretch,1-Stretch,8.16,43.228,2.286,1.055835084,-0.025
Stretch,1-Stretch,8.36,43.31,2.368,1.057837917,-0.224
Stretch,1-Stretch,8.56,43.392,2.45,1.05984075,0.075
Stretch,1-Stretch,8.76,43.474,2.532,1.061843584,-0.224
Stretch,1-Stretch,8.96,43.556,2.614,1.063846417,-0.224
Stretch,1-Stretch,9.16,43.638,2.696,1.06584925,-0.025
Stretch,1-Stretch,9.36,43.72,2.778,1.067852083,-0.224
Stretch,1-Stretch,9.56,43.803,2.861,1.069879342,-0.025
Stretch,1-Stretch,9.76,43.884,2.942,1.07185775,-0.025
Stretch,1-Stretch,9.96,43.966,3.024,1.073860583,0.274
Stretch,1-Stretch,10.16,44.049,3.107,1.075887841,0.174
Stretch,1-Stretch,10.36,44.131,3.189,1.077890675,0.174
Stretch,1-Stretch,10.56,44.212,3.27,1.079869083,-0.124
Stretch,1-Stretch,10.76,44.294,3.352,1.081871916,0.274
Stretch,1-Stretch,10.96,44.377,3.435,1.083899174,-0.124
Stretch,1-Stretch,11.16,44.459,3.517,1.085902008,-0.124
Stretch,1-Stretch,11.36,44.54,3.598,1.087880416,0.075
Stretch,1-Stretch,11.56,44.623,3.681,1.089907674,-0.324
Stretch,1-Stretch,11.76,44.705,3.763,1.091910508,0.075
Stretch,1-Stretch,11.96,44.787,3.845,1.093913341,-0.124
Stretch,1-Stretch,12.16,44.869,3.927,1.095916174,-0.124
Stretch,1-Stretch,12.36,44.951,4.009,1.097919007,0.274
Stretch,1-Stretch,12.56,45.033,4.091,1.099921841,-0.025
Stretch,1-Stretch,12.76,45.115,4.173,1.101924674,-0.124
Stretch,1-Stretch,12.96,45.197,4.255,1.103927507,0.075
Stretch,1-Stretch,13.16,45.279,4.337,1.10593034,0.174
Stretch,1-Stretch,13.36,45.361,4.419,1.107933174,0.174
Stretch,1-Stretch,13.56,45.443,4.501,1.109936007,0.174
Stretch,1-Stretch,13.76,45.525,4.583,1.11193884,-0.124
Stretch,1-Stretch,13.96,45.608,4.666,1.113966098,0.174
Stretch,1-Stretch,14.16,45.689,4.747,1.115944507,-0.025
Stretch,1-Stretch,14.36,45.771,4.829,1.11794734,-0.025
Stretch,1-Stretch,14.56,45.853,4.911,1.119950173,0.075
Stretch,1-Stretch,14.76,45.936,4.994,1.121977431,0.373
Stretch,1-Stretch,14.96,46.018,5.076,1.123980265,0.174
Stretch,1-Stretch,15.16,46.099,5.157,1.125958673,0.174
Stretch,1-Stretch,15.36,46.182,5.24,1.127985931,0.174
Stretch,1-Stretch,15.56,46.264,5.322,1.129988765,0.373
Stretch,1-Stretch,15.76,46.346,5.404,1.131991598,0.373
Stretch,1-Stretch,15.96,46.428,5.486,1.133994431,0.373
Stretch,1-Stretch,16.16,46.51,5.568,1.135997264,0.373
Stretch,1-Stretch,16.36,46.592,5.65,1.138000098,0.373
Stretch,1-Stretch,16.56,46.674,5.732,1.140002931,0.373
Stretch,1-Stretch,16.76,46.756,5.814,1.142005764,0.274
Stretch,1-Stretch,16.96,46.838,5.896,1.144008598,0.373
Stretch,1-Stretch,17.16,46.92,5.978,1.146011431,0.373
Stretch,1-Stretch,17.36,47.002,6.06,1.148014264,0.373
Stretch,1-Stretch,17.56,47.084,6.142,1.150017097,0.373
Stretch,1-Stretch,17.76,47.166,6.224,1.152019931,0.373
Stretch,1-Stretch,17.96,47.248,6.306,1.154022764,0.373
Stretch,1-Stretch,18.16,47.33,6.388,1.156025597,0.373
Stretch,1-Stretch,18.36,47.412,6.47,1.15802843,0.373
Stretch,1-Stretch,18.56,47.495,6.553,1.160055689,0.373
Stretch,1-Stretch,18.76,47.576,6.634,1.162034097,0.373
Stretch,1-Stretch,18.96,47.658,6.716,1.16403693,0.373
Stretch,1-Stretch,19.16,47.741,6.799,1.166064188,0.473
Stretch,1-Stretch,19.36,47.823,6.881,1.168067022,0.672
Stretch,1-Stretch,19.56,47.904,6.962,1.17004543,0.373
Stretch,1-Stretch,19.76,47.987,7.045,1.172072688,0.672
Stretch,1-Stretch,19.96,48.069,7.127,1.174075521,0.572
Stretch,1-Stretch,20.16,48.151,7.209,1.176078355,0.473
Stretch,1-Stretch,20.36,48.233,7.291,1.178081188,0.672
Stretch,1-Stretch,20.56,48.315,7.373,1.180084021,0.373
Stretch,1-Stretch,20.76,48.397,7.455,1.182086855,0.572
Stretch,1-Stretch,20.96,48.479,7.537,1.184089688,0.672
Stretch,1-Stretch,21.16,48.561,7.619,1.186092521,0.473
Stretch,1-Stretch,21.36,48.643,7.701,1.188095354,0.572
Stretch,1-Stretch,21.56,48.725,7.783,1.190098188,0.772
Stretch,1-Stretch,21.76,48.807,7.865,1.192101021,0.871
Stretch,1-Stretch,21.96,48.889,7.947,1.194103854,0.672
Stretch,1-Stretch,22.16,48.971,8.029,1.196106688,0.971
Stretch,1-Stretch,22.36,49.054,8.112,1.198133946,0.971
Stretch,1-Stretch,22.56,49.135,8.193,1.200112354,0.672
Stretch,1-Stretch,22.76,49.217,8.275,1.202115187,1.07
Stretch,1-Stretch,22.96,49.3,8.358,1.204142445,0.871
Stretch,1-Stretch,23.16,49.382,8.44,1.206145279,1.07
Stretch,1-Stretch,23.36,49.463,8.521,1.208123687,1.07
Stretch,1-Stretch,23.56,49.546,8.604,1.210150945,1.07
Stretch,1-Stretch,23.76,49.628,8.686,1.212153779,1.17
Stretch,1-Stretch,23.96,49.71,8.768,1.214156612,1.17
Stretch,1-Stretch,24.16,49.792,8.85,1.216159445,1.17
Stretch,1-Stretch,24.36,49.874,8.932,1.218162278,1.17
Stretch,1-Stretch,24.56,49.956,9.014,1.220165112,1.269
Stretch,1-Stretch,24.76,50.038,9.096,1.222167945,1.468
Stretch,1-Stretch,24.96,50.12,9.178,1.224170778,1.667
Stretch,1-Stretch,25.16,50.202,9.26,1.226173611,1.468
Stretch,1-Stretch,25.36,50.284,9.342,1.228176445,1.867
Stretch,1-Stretch,25.56,50.366,9.424,1.230179278,1.667
Stretch,1-Stretch,25.76,50.448,9.506,1.232182111,1.568
Stretch,1-Stretch,25.96,50.53,9.588,1.234184945,1.867
Stretch,1-Stretch,26.16,50.612,9.67,1.236187778,1.767
Stretch,1-Stretch,26.36,50.694,9.752,1.238190611,1.867
Stretch,1-Stretch,26.56,50.776,9.834,1.240193444,1.966
Stretch,1-Stretch,26.76,50.859,9.917,1.242220702,1.966
Stretch,1-Stretch,26.96,50.94,9.998,1.244199111,1.966
Stretch,1-Stretch,27.16,51.022,10.08,1.246201944,1.966
Stretch,1-Stretch,27.36,51.105,10.163,1.248229202,1.966
Stretch,1-Stretch,27.56,51.178,10.236,1.250012212,2.663
Stretch,1-Stretch,27.76,51.243,10.301,1.251599824,2.364
Stretch,1-Stretch,27.96,51.326,10.384,1.253627082,2.563
Stretch,1-Stretch,28.16,51.407,10.465,1.255605491,2.563
Stretch,1-Stretch,28.36,51.489,10.547,1.257608324,2.364
Stretch,1-Stretch,28.56,51.571,10.629,1.259611157,2.663
Stretch,1-Stretch,28.76,51.654,10.712,1.261638415,2.763
Stretch,1-Stretch,28.96,51.735,10.793,1.263616824,2.763
Stretch,1-Stretch,29.16,51.818,10.876,1.265644082,2.663
Stretch,1-Stretch,29.36,51.9,10.958,1.267646915,2.563
Stretch,1-Stretch,29.56,51.982,11.04,1.269649748,2.663
Stretch,1-Stretch,29.76,52.064,11.122,1.271652582,2.763
Stretch,1-Stretch,29.96,52.146,11.204,1.273655415,2.763
Stretch,1-Stretch,30.16,52.228,11.286,1.275658248,2.763
Stretch,1-Stretch,30.36,52.31,11.368,1.277661082,2.862
Stretch,1-Stretch,30.56,52.392,11.45,1.279663915,2.962
Stretch,1-Stretch,30.76,52.474,11.532,1.281666748,2.763
Stretch,1-Stretch,30.96,52.556,11.614,1.283669581,3.061
Stretch,1-Stretch,31.16,52.638,11.696,1.285672415,3.061
Stretch,1-Stretch,31.36,52.72,11.778,1.287675248,3.459
Stretch,1-Stretch,31.56,52.802,11.86,1.289678081,3.559
Stretch,1-Stretch,31.76,52.884,11.942,1.291680914,3.559
Stretch,1-Stretch,31.96,52.966,12.024,1.293683748,3.559
Stretch,1-Stretch,32.16,53.048,12.106,1.295686581,3.559
Stretch,1-Stretch,32.36,53.13,12.188,1.297689414,3.559
Stretch,1-Stretch,32.56,53.213,12.271,1.299716672,3.858
Stretch,1-Stretch,32.76,53.294,12.352,1.301695081,3.758
Stretch,1-Stretch,32.96,53.377,12.435,1.303722339,3.858
Stretch,1-Stretch,33.16,53.458,12.516,1.305700747,4.355
Stretch,1-Stretch,33.36,53.541,12.599,1.307728005,4.355
Stretch,1-Stretch,33.56,53.622,12.68,1.309706414,4.355
Stretch,1-Stretch,33.76,53.705,12.763,1.311733672,4.256
Stretch,1-Stretch,33.96,53.787,12.845,1.313736505,4.355
Stretch,1-Stretch,34.16,53.869,12.927,1.315739339,4.355
Stretch,1-Stretch,34.36,53.951,13.009,1.317742172,4.355
Stretch,1-Stretch,34.56,54.033,13.091,1.319745005,4.355
Stretch,1-Stretch,34.76,54.115,13.173,1.321747838,4.455
Stretch,1-Stretch,34.96,54.197,13.255,1.323750672,5.052
Stretch,1-Stretch,35.16,54.279,13.337,1.325753505,4.853
Stretch,1-Stretch,35.36,54.361,13.419,1.327756338,4.953
Stretch,1-Stretch,35.56,54.443,13.501,1.329759172,5.152
Stretch,1-Stretch,35.76,54.525,13.583,1.331762005,5.152
Stretch,1-Stretch,35.96,54.607,13.665,1.333764838,5.251
Stretch,1-Stretch,36.16,54.689,13.747,1.335767671,5.152
Stretch,1-Stretch,36.36,54.771,13.829,1.337770505,5.45
