SetName,Cycle,Time_S,Size_mm,Displacement_mm,Lambda,Force_N
Stretch,1-Preload,0,38.09,0,,0.103
Stretch,1-Preload,0.2,38.09,0,,-0.097
Stretch,1-Preload,0.4,38.105,0.015,,-0.097
Stretch,1-Preload,0.6,38.121,0.031,,-0.296
Stretch,1-Preload,0.8,38.141,0.051,,-0.097
Stretch,1-Preload,1,38.148,0.058,,0.003
Stretch,1-Stretch,1.12,38.148,0,1,-0.097
Stretch,1-Stretch,1.32,38.216,0.068,1.001782531,-0.097
Stretch,1-Stretch,1.52,38.292,0.144,1.003774772,-0.196
Stretch,1-Stretch,1.72,38.368,0.22,1.005767013,-0.395
Stretch,1-Stretch,1.92,38.445,0.297,1.007785467,-0.196
Stretch,1-Stretch,2.12,38.521,0.373,1.009777708,-0.196
Stretch,1-Stretch,2.32,38.598,0.45,1.011796162,-0.296
Stretch,1-Stretch,2.52,38.674,0.526,1.013788403,-0.196
Stretch,1-Stretch,2.72,38.751,0.603,1.015806858,0.003
Stretch,1-Stretch,2.92,38.827,0.679,1.017799098,-0.196
Stretch,1-Stretch,3.12,38.903,0.755,1.019791339,0.103
Stretch,1-Stretch,3.32,38.98,0.832,1.021809793,0.003
Stretch,1-Stretch,3.52,39.056,0.908,1.023802034,0.003
Stretch,1-Stretch,3.72,39.133,0.985,1.025820489,0.003
Stretch,1-Stretch,3.92,39.209,1.061,1.027812729,0.003
Stretch,1-Stretch,4.12,39.286,1.138,1.029831184,0.103
Stretch,1-Stretch,4.32,39.362,1.214,1.031823425,0.103
Stretch,1-Stretch,4.52,39.439,1.291,1.033841879,0.103
Stretch,1-Stretch,4.72,39.515,1.367,1.03583412,0.103
Stretch,1-Stretch,4.92,39.592,1.444,1.037852574,0.103
Stretch,1-Stretch,5.12,39.668,1.52,1.039844815,0.103
Stretch,1-Stretch,5.32,39.744,1.596,1.041837056,0.103
Stretch,1-Stretch,5.52,39.821,1.673,1.04385551,0.103
Stretch,1-Stretch,5.72,39.897,1.749,1.045847751,0.103
Stretch,1-Stretch,5.92,39.974,1.826,1.047866205,0.103
Stretch,1-Stretch,6.12,40.05,1.902,1.049858446,0.103
Stretch,1-Stretch,6.32,40.126,1.978,1.051850687,0.103
Stretch,1-Stretch,6.52,40.203,2.055,1.053869141,0.103
Stretch,1-Stretch,6.72,40.279,2.131,1.055861382,0.103
Stretch,1-Stretch,6.92,40.356,2.208,1.057879836,0.103
Stretch,1-Stretch,7.12,40.433,2.285,1.059898291,0.103
Stretch,1-Stretch,7.32,40.509,2.361,1.061890532,0.103
Stretch,1-Stretch,7.52,40.585,2.437,1.063882772,0.103
Stretch,1-Stretch,7.72,40.662,2.514,1.065901227,0.103
Stretch,1-Stretch,7.92,40.738,2.59,1.067893468,0.302
Stretch,1-Stretch,8.12,40.815,2.667,1.069911922,0.202
Stretch,1-Stretch,8.32,40.891,2.743,1.071904163,0.103
Stretch,1-Stretch,8.52,40.968,2.82,1.073922617,0.302
Stretch,1-Stretch,8.72,41.044,2.896,1.075914858,0.103
Stretch,1-Stretch,8.92,41.12,2.972,1.077907099,0.302
Stretch,1-Stretch,9.12,41.197,3.049,1.079925553,0.401
Stretch,1-Stretch,9.32,41.273,3.125,1.081917794,0.103
Stretch,1-Stretch,9.52,41.35,3.202,1.083936248,0.401
Stretch,1-Stretch,9.72,41.426,3.278,1.085928489,0.401
Stretch,1-Stretch,9.92,41.502,3.354,1.08792073,0.202
Stretch,1-Stretch,10.12,41.579,3.431,1.089939184,0.501
Stretch,1-Stretch,10.32,41.656,3.508,1.091957639,0.103
Stretch,1-Stretch,10.52,41.732,3.584,1.093949879,0.202
Stretch,1-Stretch,10.72,41.809,3.661,1.095968334,0.401
Stretch,1-Stretch,10.92,41.885,3.737,1.097960575,0.401
Stretch,1-Stretch,11.12,41.961,3.813,1.099952815,0.501
Stretch,1-Stretch,11.32,42.038,3.89,1.10197127,0.6
Stretch,1-Stretch,11.52,42.114,3.966,1.103963511,0.6
Stretch,1-Stretch,11.72,42.191,4.043,1.105981965,0.6
Stretch,1-Stretch,11.92,42.267,4.119,1.107974206,0.7
Stretch,1-Stretch,12.12,42.343,4.195,1.109966446,0.7
Stretch,1-Stretch,12.32,42.42,4.272,1.111984901,0.501
Stretch,1-Stretch,12.52,42.496,4.348,1.113977142,0.799
Stretch,1-Stretch,12.72,42.573,4.425,1.115995596,0.6
Stretch,1-Stretch,12.92,42.65,4.502,1.118014051,0.7
Stretch,1-Stretch,13.12,42.726,4.578,1.120006291,0.799
Stretch,1-Stretch,13.32,42.802,4.654,1.121998532,0.6
Stretch,1-Stretch,13.52,42.879,4.731,1.124016986,0.799
Stretch,1-Stretch,13.72,42.955,4.807,1.126009227,0.799
Stretch,1-Stretch,13.92,43.032,4.884,1.128027682,0.899
Stretch,1-Stretch,14.12,43.108,4.96,1.130019922,0.899
Stretch,1-Stretch,14.32,43.184,5.036,1.132012163,0.899
Stretch,1-Stretch,14.52,43.261,5.113,1.134030618,0.899
Stretch,1-Stretch,14.72,43.337,5.189,1.136022858,0.899
Stretch,1-Stretch,14.92,43.414,5.266,1.138041313,0.999
Stretch,1-Stretch,15.12,43.49,5.342,1.140033554,0.899
Stretch,1-Stretch,15.32,43.567,5.419,1.142052008,1.198
Stretch,1-Stretch,15.52,43.643,5.495,1.144044249,1.198
Stretch,1-Stretch,15.72,43.719,5.571,1.146036489,1.496
Stretch,1-Stretch,15.92,43.796,5.648,1.148054944,1.397
Stretch,1-Stretch,16.12,43.873,5.725,1.150073398,1.397
Stretch,1-Stretch,16.32,43.949,5.801,1.152065639,1.596
Stretch,1-Stretch,16.52,44.025,5.877,1.15405788,1.297
Stretch,1-Stretch,16.72,44.102,5.954,1.156076334,1.596
Stretch,1-Stretch,16.92,44.178,6.03,1.158068575,1.496
Stretch,1-Stretch,17.12,44.255,6.107,1.160087029,1.297
Stretch,1-Stretch,17.32,44.331,6.183,1.16207927,1.596
Stretch,1-Stretch,17.52,44.408,6.26,1.164097725,1.596
Stretch,1-Stretch,17.72,44.484,6.336,1.166089965,1.596
Stretch,1-Stretch,17.92,44.56,6.412,1.168082206,1.695
Stretch,1-Stretch,18.12,44.637,6.489,1.170100661,1.695
Stretch,1-Stretch,18.32,44.713,6.565,1.172092901,1.695
Stretch,1-Stretch,18.52,44.79,6.642,1.174111356,1.695
Stretch,1-Stretch,18.72,44.866,6.718,1.176103597,1.695
Stretch,1-Stretch,18.92,44.942,6.794,1.178095837,1.695
Stretch,1-Stretch,19.12,45.019,6.871,1.180114292,1.695
Stretch,1-Stretch,19.32,45.095,6.947,1.182106532,1.695
Stretch,1-Stretch,19.52,45.172,7.024,1.184124987,2.193
Stretch,1-Stretch,19.72,45.249,7.101,1.186143441,1.994
Stretch,1-Stretch,19.92,45.325,7.177,1.188135682,2.392
