SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Stretch,1-Preload,0.000,38.262,0,0.127
Stretch,1-Preload,0.200,38.262,0,0.127
Stretch,1-Preload,0.400,38.262,0,-0.072
Stretch,1-Stretch,0.420,38.262,0,0.028
Stretch,1-Stretch,0.620,38.328,0.066,-0.271
Stretch,1-Stretch,0.820,38.405,0.143,-0.072
Stretch,1-Stretch,1.020,38.481,0.219,-0.072
Stretch,1-Stretch,1.220,38.558,0.296,-0.370
Stretch,1-Stretch,1.420,38.634,0.372,-0.072
Stretch,1-Stretch,1.620,38.711,0.449,-0.072
Stretch,1-Stretch,1.820,38.788,0.526,-0.072
Stretch,1-Stretch,2.020,38.865,0.603,-0.072
Stretch,1-Stretch,2.220,38.941,0.679,0.127
Stretch,1-Stretch,2.420,39.018,0.756,0.028
Stretch,1-Stretch,2.620,39.094,0.832,-0.072
Stretch,1-Stretch,2.820,39.172,0.91,-0.072
Stretch,1-Stretch,3.020,39.248,0.986,-0.072
Stretch,1-Stretch,3.220,39.325,1.063,-0.072
Stretch,1-Stretch,3.420,39.401,1.139,-0.171
Stretch,1-Stretch,3.620,39.478,1.216,-0.072
Stretch,1-Stretch,3.820,39.554,1.292,-0.072
Stretch,1-Stretch,4.020,39.632,1.37,-0.171
Stretch,1-Stretch,4.220,39.708,1.446,-0.072
Stretch,1-Stretch,4.420,39.785,1.523,-0.370
Stretch,1-Stretch,4.620,39.861,1.599,-0.171
Stretch,1-Stretch,4.820,39.938,1.676,-0.271
Stretch,1-Stretch,5.020,40.015,1.753,-0.171
Stretch,1-Stretch,5.220,40.092,1.83,-0.072
Stretch,1-Stretch,5.420,40.168,1.906,-0.171
Stretch,1-Stretch,5.620,40.245,1.983,0.127
Stretch,1-Stretch,5.820,40.321,2.059,0.028
Stretch,1-Stretch,6.020,40.398,2.136,-0.072
Stretch,1-Stretch,6.220,40.475,2.213,-0.072
Stretch,1-Stretch,6.420,40.552,2.29,-0.072
Stretch,1-Stretch,6.620,40.628,2.366,0.028
Stretch,1-Stretch,6.820,40.705,2.443,-0.072
Stretch,1-Stretch,7.020,40.781,2.519,-0.072
Stretch,1-Stretch,7.220,40.858,2.596,0.127
Stretch,1-Stretch,7.420,40.935,2.673,-0.171
Stretch,1-Stretch,7.620,41.012,2.75,-0.072
Stretch,1-Stretch,7.820,41.088,2.826,-0.072
Stretch,1-Stretch,8.020,41.165,2.903,-0.171
Stretch,1-Stretch,8.220,41.241,2.979,0.028
Stretch,1-Stretch,8.420,41.319,3.057,0.028
Stretch,1-Stretch,8.620,41.395,3.133,0.127
Stretch,1-Stretch,8.820,41.472,3.21,0.127
Stretch,1-Stretch,9.020,41.548,3.286,0.028
Stretch,1-Stretch,9.220,41.625,3.363,0.127
Stretch,1-Stretch,9.420,41.702,3.44,0.127
Stretch,1-Stretch,9.620,41.779,3.517,0.028
Stretch,1-Stretch,9.820,41.855,3.593,0.127
Stretch,1-Stretch,10.020,41.932,3.67,0.028
Stretch,1-Stretch,10.220,42.008,3.746,-0.072
Stretch,1-Stretch,10.420,42.085,3.823,0.127
Stretch,1-Stretch,10.620,42.162,3.9,0.127
Stretch,1-Stretch,10.820,42.239,3.977,0.127
Stretch,1-Stretch,11.020,42.315,4.053,0.127
Stretch,1-Stretch,11.220,42.392,4.13,0.127
Stretch,1-Stretch,11.420,42.468,4.206,0.127
Stretch,1-Stretch,11.620,42.545,4.283,0.028
Stretch,1-Stretch,11.820,42.622,4.36,0.127
