# Stretch,Cauchy_stress
1.000000000000000000e+00,1.617796759926427462e-03
1.001798608033782623e+00,1.620706542175858866e-03
1.003779683549253177e+00,1.623911519725956733e-03
1.005786825847822197e+00,1.627158668033292822e-03
1.007793968146390995e+00,1.630405816340628694e-03
1.009801110444960015e+00,1.633652964647964783e-03
1.011808252743529035e+00,1.636900112955301089e-03
1.013789328258999589e+00,1.640105090505398957e-03
1.015822537340666853e+00,1.643394409569973267e-03
1.017803612856137407e+00,1.646599387120071135e-03
1.019810755154706206e+00,1.649846535427407007e-03
1.021817897453275448e+00,1.653093683734743746e-03
1.023825039751844246e+00,1.433371873882568863e-02
1.025832182050413044e+00,1.659587980349415490e-03
1.027839324348982064e+00,7.994399657003613963e-03
1.029846466647551084e+00,8.010010946942730525e-03
1.031853608946120104e+00,1.669329425271424191e-03
1.033834684461590658e+00,2.090668003526902421e-02
1.035867893543257701e+00,8.056844816760076744e-03
1.037848969058728477e+00,8.072253362674010335e-03
1.039856111357297497e+00,2.743403690166372477e-02
1.041863253655866295e+00,1.685522996050866197e-03
1.043870395954435315e+00,1.461435701848444457e-02
1.045877538253004113e+00,2.115021615831922872e-02
1.047884680551573133e+00,1.695264440972874681e-03
1.049891822850142153e+00,2.123139486600263484e-02
1.051898965148710952e+00,8.181532392247821070e-03
1.053880040664181728e+00,8.196940938161754661e-03
1.055913249745848992e+00,2.785766486545157572e-02
1.057894325261319546e+00,1.711458011752317121e-03
1.059901467559888566e+00,2.143381450074566957e-02
1.061908609858457364e+00,2.801583764413859493e-02
1.063915752157026162e+00,3.468878904989793760e-02
1.065922894455595404e+00,4.132039365013751020e-02
1.067930036754164203e+00,4.804317629338251266e-02
1.069911112269634756e+00,4.147499651202909282e-02
1.071918254568203777e+00,3.494970925664346584e-02
1.073925396866772575e+00,4.831289072496437742e-02
1.075932539165341595e+00,3.508059431149301854e-02
1.077939681463910615e+00,3.514603683891779490e-02
1.079946823762479413e+00,4.858377782798792288e-02
1.081953966061048433e+00,2.854468489113998544e-02
1.083935041576518987e+00,4.201863271920346088e-02
1.085968250658186252e+00,4.885466493101146140e-02
1.087949326173657028e+00,3.547239957308809255e-02
1.089956468472225826e+00,4.903408366158549386e-02
1.091963610770794846e+00,4.912437936259334698e-02
1.093970753069363866e+00,5.595361397272501092e-02
1.095977895367932664e+00,5.605627381536462672e-02
1.097985037666501684e+00,5.615893365800425641e-02
1.099966113181972238e+00,5.626026025593427321e-02
1.101999322263639502e+00,6.322121847020364949e-02
1.103980397779110056e+00,6.333487190486480900e-02
1.105987540077679077e+00,7.714476496070485356e-02
1.107994682376247875e+00,9.100436436371103777e-02
1.110001824674816895e+00,8.433152811655798831e-02
1.112008966973385693e+00,1.051033785092234801e-01
1.114016109271954713e+00,8.463651027680856032e-02
1.116023251570523733e+00,9.860801140609833093e-02
1.118030393869092531e+00,9.878535565980667288e-02
1.120011469384563307e+00,7.812296108950494977e-02
1.122044678466230572e+00,1.060519204859241837e-01
1.124025753981701126e+00,1.062391651358702838e-01
1.126032896280270146e+00,1.134353826511057955e-01
1.128040038578838944e+00,1.136375800783971934e-01
1.130047180877407742e+00,1.138397775056886191e-01
1.132054323175976984e+00,1.140419749329800864e-01
1.134035398691447538e+00,1.142415464196573222e-01
1.136042540990016558e+00,1.144437438469487617e-01
1.138049683288585356e+00,1.428294401174443617e-01
1.140056825587154155e+00,1.430813438919019409e-01
1.142063967885723397e+00,1.433332476663595478e-01
1.144071110184292195e+00,1.648702085954052432e-01
1.146078252482860993e+00,1.438370552152746507e-01
1.148085394781430013e+00,1.583049742792496939e-01
1.150066470296900567e+00,1.585781369812119257e-01
1.152099679378567831e+00,1.516897838352889716e-01
1.154080754894038607e+00,1.734219029190717798e-01
1.156087897192607405e+00,1.737235130406954708e-01
1.158095039491176426e+00,1.740251231623192174e-01
1.160102181789745446e+00,1.599619217214151845e-01
1.162109324088314244e+00,1.530076913648774350e-01
1.164116466386883264e+00,1.388574413712728439e-01
1.166097541902353818e+00,1.680444014927193752e-01
1.168130750984021082e+00,1.683374039140099199e-01
1.170111826499491858e+00,1.758308668774950234e-01
1.172118968798060656e+00,1.761324769991187145e-01
1.174126111096629455e+00,1.764340871207424055e-01
1.176133253395198475e+00,1.767356972423661243e-01
1.178140395693767495e+00,1.770373073639898709e-01
1.180147537992336293e+00,1.773389174856135897e-01
1.182154680290905313e+00,1.849962430361084265e-01
1.184161822589474111e+00,2.072675914829341659e-01
1.186142898104944887e+00,1.782398308359181838e-01
1.188176107186612152e+00,1.932577911963112016e-01
1.190157182702082705e+00,2.009855240699194578e-01
